"review_id","star_rating","helpful_votes","total_votes","vine"
"R1NBG94582SJE2",5,0,0,"N"
"R273DCA6Y0H9V7",5,0,0,"N"
"RQVOXO7WUOFK6",2,1,1,"N"
"R1KWKSF21PO6HO",5,0,0,"N"
"R38H3UO1J190GI",5,1,1,"N"
"R3NPIFKLR19NQA",3,0,0,"N"
"R3MBE6UCH3435E",3,8,8,"N"
"R2E7A4FF0PVY5Q",5,0,1,"N"
"R3R8JDQ2BF4NM",5,0,2,"N"
"R1YND4BS823GN5",1,0,0,"N"
"R2TZNSA18V7YF6",4,1,1,"N"
"R22ZVRDPPXIDNL",5,0,0,"N"
"R1F4O6WOO2W461",3,3,3,"N"
"RT1KLS3QSJNUT",5,4,4,"N"
"R222VYJL5K5IRS",5,0,0,"N"
"R31LUR7M4PQOLU",5,0,0,"N"
"R1OD3T3Q042LUQ",2,0,0,"N"
"R2QT68OZTT2YKE",5,0,0,"N"
"RMFQF59FG3TD1",4,0,0,"N"
"R1QNYFW6G31R5T",1,1,3,"N"
